Data Source,World Development Indicators,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,
,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021,2022,2023
Mali,MLI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Malta,MLT,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,6.270051159836,6.270051159836,7.444799,7.44494,7.444803238,7.4449396,
Myanmar,MMR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.32704768669274,2.32704768669274,0.477839,0.477839,0.477839023,0.477839,
Middle East & North Africa (excluding high income),MNA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.30563128087114,1.30563128087114,1.30691652816576,0.969702271945675,0.969006458206692,,
Montenegro,MNE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0012194317877657,0.0012194317877657,0.139914,0.072146,0.072145797,0.5798241,
Mongolia,MNG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Northern Mariana Islands,MNP,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,33.2506864536383,33.2506864536383,33.25069,31.96741,33.15604401,33.156044,
Mozambique,MOZ,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.23203079290958,2.23203079290958,2.232032,2.145914,2.145914078,2.1459141,
Mauritania,MRT,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.15343412031411,4.15343412031411,4.153438,4.153438,4.153437614,4.1534376,
Mauritius,MUS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.00387822523923533,0.00387822523923533,0.003878,0.003878,0.003878224,0.0038782,
Malawi,MWI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Malaysia,MYS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.54462068653388,1.54462068653388,1.544437,3.305017,5.556128502,5.5561285,
